,tempogram_x104,tempogram_y227,tempogram_z374,tempogram_y207
0,2.7779178497706467e-17,1.1868939269643877e-17,5.2550932163545065e-17,-2.724992110901667e-17
1,2.325183576757433e-17,1.1541419184967225e-17,4.3550383315169077e-17,-1.3373952211604752e-17
2,4.920063605236429e-17,2.7262033685682425e-17,7.31762302454952e-17,2.657110796182457e-18
3,3.8629879808459095e-17,2.930542550940248e-17,8.881837125994058e-17,-3.9940019963341626e-17
4,2.842821102460738e-17,1.7364195352830313e-17,2.9265754440167256e-17,-1.4113880628138804e-17
5,3.1112967128759485e-17,4.4372820638079856e-18,7.038428954661313e-17,-2.29876643474314e-17
6,2.1128233931283362e-17,-2.4724622509687686e-18,6.997967578090856e-17,-3.405833092054394e-17
7,1.1986447048846429e-17,1.7983782025919046e-17,4.511151903385229e-17,-2.5125569833970578e-17
8,1.8290382017032378e-17,-7.834823644616461e-18,1.0405953869988048e-16,-1.3760753182796445e-17
9,2.271444770009741e-17,8.068856141444355e-18,8.304624020260675e-17,-1.6149004038121796e-17
10,3.703685650422132e-17,1.511407924156696e-17,3.107620598861325e-17,-2.0564696576926824e-17
11,3.078654191304845e-17,-4.707335459135375e-18,5.681026748962212e-17,-2.7700067908898974e-17
12,1.450664168072958e-17,1.7366550805135492e-17,5.180269936583316e-17,-2.5086839788486886e-17
13,3.451569493392076e-17,1.3981668142529318e-17,5.570432288948986e-17,-3.3978331252685305e-17
14,3.7856041041486047e-17,1.8400185676765522e-17,4.4676012796155433e-17,-2.028031332842779e-17
15,3.2769959889951255e-17,1.1163527403926509e-17,8.041073066194019e-17,-1.994413505611536e-17
16,4.811421715883085e-17,7.953511588442233e-18,4.712737128577443e-17,-1.95466815464992e-17
17,1.0864750223243585e-17,2.1567722498771795e-17,6.036675999997996e-17,-3.856807772046533e-17
18,2.1483744020738626e-17,2.095945567266723e-17,5.1050037907795505e-17,-2.6824478403470468e-17
19,5.115443396216103e-17,2.3484691636070204e-17,4.015609363363319e-17,-1.6763264531580706e-17
20,2.5766505442603253e-17,5.064807237738281e-18,2.225052089459505e-17,-1.683636527832746e-17
21,6.802928835920332e-17,2.450762743051396e-17,2.9076064405411e-17,-4.61025947987948e-17
22,1.8203578254270188e-17,2.717281937370577e-17,5.583919089593034e-17,-1.3663742801206988e-17
23,1.805557931637962e-17,4.138247794567242e-17,5.921720207785615e-17,-2.4069052255097645e-17
24,5.4725657437157266e-17,2.5739594303259337e-18,5.701129227440278e-17,-2.169524818704098e-17
25,9.503154722767097e-18,-2.8765370493754328e-18,7.262942775537246e-17,-5.809396038989783e-17
26,6.355431804947596e-18,-3.4154245729443346e-18,5.957011387224627e-17,-3.8356260932073997e-17
27,5.1580015158201255e-17,2.1420675804493485e-17,3.69581086307071e-17,-3.696990433707236e-17
28,3.1054863648894416e-17,2.2211169919189252e-17,5.2229592417085825e-17,-1.6457675890209502e-17
29,4.723232709154909e-17,1.540159845793881e-17,5.3957860703180044e-17,-2.7106378886058187e-17
30,4.635672577430327e-17,2.6484559466965968e-17,4.792118957388675e-17,-3.1433043134546345e-17
31,2.3629678436441654e-17,1.1748469241620005e-17,5.912151152706397e-17,-2.494821465033252e-17
32,1.1962137516364693e-17,2.314858058135743e-17,5.890276249964866e-17,3.392572733684773e-18
33,4.2213504569936506e-17,1.0576530052777053e-17,8.551557323387409e-17,-2.406299247353564e-17
34,2.2185044494054054e-17,2.0782448154914458e-17,7.264133319114113e-17,-1.2380497544353085e-17
35,4.154097669061257e-17,2.013257819497131e-17,6.846710085218297e-17,-1.992605948728524e-17
36,5.3025733372402723e-17,5.3576966881302133e-17,4.2691583058176e-17,1.3624772770355469e-18
37,2.2684674309762614e-17,2.166757512903505e-17,5.5319864969155814e-17,-4.286326258477616e-18
38,1.6394431498324471e-18,5.907082919334228e-18,5.778197476027109e-17,3.569932122976616e-18
39,3.3504519798446614e-17,2.4173713640064292e-17,6.30086635538466e-17,-2.6340958751497437e-18
40,3.49512699309441e-17,1.8291221501691014e-17,3.0209988412974984e-17,-1.7195833259686228e-17
41,2.712400248342001e-17,1.6683095665266833e-17,4.253673050812349e-17,-1.834687669504111e-17
42,2.0688553351232934e-17,3.985439261395846e-17,3.876911237535249e-17,-3.0394703116938757e-17
43,-4.329735610774709e-18,2.3303994461924735e-18,1.3926703967945426e-17,-1.4330850200744985e-17
44,7.073661705067342e-17,4.643045199875061e-17,8.423675367638059e-17,3.664826327437945e-17
45,2.6213003301439773e-17,1.8738885183447638e-17,6.391104861065768e-17,-2.4048329918459888e-17
46,4.60767148325676e-17,2.333412795551273e-17,4.0827690620856735e-17,-7.366730653215707e-18
47,4.9146908742078176e-17,3.277783070982759e-18,5.17552767752101e-17,-1.3867733150486283e-17
48,2.293324066833084e-17,1.3212910092954957e-18,7.836409750220134e-17,-4.6117789791314627e-17
49,3.4399725457489284e-17,-2.235452169380662e-17,6.237025017362786e-17,-4.230377658193573e-17
50,2.3455090593067995e-17,1.3421920073076893e-17,5.58154684306458e-17,-3.4898217327575977e-17
51,3.955562971727799e-17,1.475715627161425e-17,4.801003856731159e-17,1.7929000360877405e-18
52,3.854580256455912e-17,2.700258659651255e-17,4.8563537112967385e-17,-2.1914721379504945e-17
53,3.931912522090173e-17,2.9914805192633836e-17,4.75059046231331e-17,-2.971070067363647e-18
54,2.3542974271428847e-17,-4.680582811347076e-18,6.9192869607555e-17,-1.5418795701225008e-17
55,1.793176533307833e-17,9.023858241819344e-18,3.11517761864526e-17,-1.2017654641935216e-17
56,3.135586285965575e-17,1.521126047533196e-17,1.032187816675945e-16,-1.1020939807470509e-17
57,2.7146369747072266e-17,1.4496176219577098e-17,6.310061761671497e-17,-2.8724191316979405e-17
58,5.59977736183297e-17,1.1783193940641465e-17,1.2751542290019092e-16,-6.176354996540148e-17
59,2.9402682625957536e-17,1.857973997149603e-17,6.392219644159151e-17,-2.5866634860347508e-17
60,2.8180249714189846e-17,1.7566595610320446e-17,4.9934821558051305e-17,-3.824933036851359e-17
61,3.7753293032893915e-17,-7.304571288970389e-18,6.602645023602309e-17,-2.9642613175503976e-17
62,4.9817488492894075e-17,4.053154430044602e-17,8.426244560360065e-17,-7.395307856098379e-18
63,3.2802493589811e-17,2.0441340035970388e-17,5.188967550402532e-17,6.864485549575512e-18
64,1.5805974542986952e-17,3.793271023016161e-17,7.119734371451944e-17,-4.5721455433400825e-17
65,3.822118252701004e-17,3.224698003614791e-17,6.5857226997478e-17,-1.6418005444705808e-17
66,3.5158840292674614e-18,1.4940329976936127e-17,1.6981532191680124e-17,-1.3544750642702789e-17
67,3.441751337344423e-17,1.4943187279927604e-17,5.0227250338153166e-17,-1.3583543619279614e-17
68,4.078629598344909e-17,1.5510037647789206e-17,1.1108041361231616e-16,-1.7779571763115493e-18
69,3.907524329467328e-17,2.6381104277873373e-17,9.175969563886304e-17,-3.662565856124174e-17
70,3.590681576977976e-17,1.3703652575980335e-17,5.117547473634291e-17,-5.1239623384330025e-17
71,2.4733577020952302e-17,2.6897457932523722e-17,5.730604039595713e-17,-2.3101942546901306e-17
72,3.550427257666396e-17,3.1190423960919576e-17,9.646114495938039e-17,-5.4552845449961434e-17
73,3.304892620365123e-17,2.330036935788844e-17,9.022782498256447e-17,-7.897593442307494e-18
74,2.102605248823554e-17,3.4215541723999345e-17,4.988286990237376e-17,-7.531829023233529e-19
75,3.190007594718184e-17,7.919078390136989e-18,8.445412008025811e-17,-2.7616167245217947e-17
76,3.4348881593106944e-17,2.459411750210937e-17,4.3398210748348777e-17,-3.126114438016368e-17
77,3.980486773865143e-17,4.1236113504655467e-17,8.751472682857528e-17,-1.0933172954792505e-17
78,6.18598019843984e-17,3.520476663216711e-17,8.371482388483827e-17,1.8620062782146497e-18
79,3.3252272758598923e-17,2.7142468033545134e-18,4.6287493774278776e-17,-2.98768007328632e-17
80,3.435622446550525e-17,1.475626085419109e-17,6.093083534647207e-17,-7.7449146172033e-18
