,tempogram_z69,tempogram_x72,tempogram_x90,tempogram_x91,tempogram_z91,tempogram_z93,tempogram_y95,tempogram_z95,tempogram_x97,tempogram_y99,tempogram_z99,tempogram_x100,tempogram_z101,tempogram_x104,tempogram_z106,tempogram_y107,tempogram_x110,tempogram_y112,tempogram_x114,tempogram_z115,tempogram_x116,tempogram_x120,tempogram_y122,tempogram_y193,tempogram_x196,tempogram_x202,tempogram_x204,tempogram_y204,tempogram_y207,tempogram_z215,tempogram_z216,tempogram_z217,tempogram_y218,tempogram_x221,tempogram_y221,tempogram_z224,tempogram_y225,tempogram_z226,tempogram_x227,tempogram_y227,tempogram_y239,tempogram_y240,tempogram_z240,tempogram_z242,tempogram_x245,tempogram_z246,tempogram_x247,tempogram_y250,tempogram_z253,tempogram_x255,tempogram_x256,tempogram_y256,tempogram_z256,tempogram_z318,tempogram_x319,tempogram_y319,tempogram_z319,tempogram_x320,tempogram_y320,tempogram_z320,tempogram_z326,tempogram_y329,tempogram_x330,tempogram_y339,tempogram_z339,tempogram_x341,tempogram_y343,tempogram_z346,tempogram_x347,tempogram_z351,tempogram_y353,tempogram_x358,tempogram_y358,tempogram_z363,tempogram_x364,tempogram_x366,tempogram_y369,tempogram_x370,tempogram_y370,tempogram_z370,tempogram_z374,tempogram_y375,tempogram_z375,tempogram_x376,tempogram_z377,tempogram_y378,tempogram_z378,tempogram_y379,tempogram_x382
0,-1.1978913631875616e-17,1.2629191393518345e-17,-4.610439031045106e-18,-2.2653676979202753e-19,-1.5814386425400998e-17,3.894927596400315e-17,1.1862818461268217e-17,-3.8270400117340674e-17,2.143544236478437e-17,-1.144706719586718e-17,1.738911797719565e-17,-1.4348818875814876e-17,1.402989489022903e-17,2.7779178497706467e-17,4.494106163058374e-17,5.338255567980554e-17,2.4596660093054882e-17,2.9629989051286603e-17,8.215753563884992e-17,3.28994908885296e-17,6.733245098792027e-17,7.260120553099585e-17,2.978418699658939e-17,-2.3402644797244206e-17,-6.71896580691208e-17,-4.824408494288968e-18,6.014988255377995e-17,-4.7122592520985306e-17,-2.724992110901667e-17,1.3667672267519379e-17,2.5262015983906724e-17,-1.0351461106214204e-17,-1.4347878901448353e-17,-1.9222777033954866e-17,7.040049035261318e-17,3.0960250091640776e-17,4.050839392493215e-17,1.3921484985450621e-18,-2.96904457902417e-17,1.1868939269643877e-17,5.828696708715058e-17,1.760793603673607e-17,3.516266006000159e-17,-3.5434538283063135e-17,3.701659749298326e-17,4.9479918846154725e-17,7.665404803242564e-17,-3.2699734971011665e-17,3.1433952762879457e-17,2.13636155933548e-17,0.4913244356939685,0.4500490566046604,0.3994885951203483,2.480735604094855e-06,1.3297187774514355e-06,6.411736214870215e-07,2.663310663807773e-07,8.819994483344875e-08,1.9790528606902776e-08,1.8990287386344443e-09,-4.39730599903013e-17,2.3333767892436002e-18,-1.7783194815329838e-17,-3.5250359303242324e-17,-3.032063367902776e-17,-6.207627377289512e-17,1.764196629873173e-17,1.6281521727145073e-17,-8.043300202079555e-18,-5.263450272245506e-18,-2.0138312984385628e-17,3.343439670850593e-17,-3.8478909909417705e-18,-2.3402563995467906e-17,1.3375592927386793e-17,5.867826151525044e-17,7.446735300460813e-17,9.05656411540748e-17,-2.173346783273325e-17,7.553039835993844e-17,5.2550932163545065e-17,7.937349773036052e-17,-2.795941536324912e-17,5.359695480637648e-17,2.7738869756463017e-17,4.9534725755955305e-17,-4.7274067612699556e-17,-7.498940266141493e-18,4.2642379703179305e-17
1,7.640143945424333e-18,8.578913617528157e-18,7.815173294463107e-18,2.2603722405362408e-17,-1.3993272722967606e-17,5.855671859313365e-17,3.0521255411113576e-17,-1.859077307866994e-17,3.454883847437504e-17,-1.7321543698006088e-17,1.2488742507331803e-17,-1.4240751511199905e-17,4.812945448321464e-18,2.325183576757433e-17,2.7423024329660295e-17,3.643728293363434e-17,2.0503589605345278e-17,4.3008702302663136e-17,6.825568104158088e-17,1.959927006893191e-17,4.590531937739171e-17,4.22573078690669e-17,1.6317040537145916e-17,-3.036285964639544e-17,-5.225615037532876e-17,1.8318418298040494e-17,5.0379742285431986e-17,-8.789455769696501e-17,-1.3373952211604752e-17,5.940753832198389e-18,3.521918163558601e-17,-1.9477607547187253e-17,-6.9019266806417945e-18,-3.474768699149538e-17,7.680634135821571e-17,4.965908670113051e-17,3.750972072083175e-17,3.099562737074644e-17,-1.809082023822208e-17,1.1541419184967225e-17,6.984113166376583e-17,1.1180172914959817e-17,3.250902950635166e-17,-6.205143684210814e-17,6.709320362996438e-18,-5.0126366229914774e-20,7.120481723266066e-17,-3.201904619770853e-17,3.3529910376801966e-17,2.792896756671584e-17,0.4482209767193763,0.3785571668199065,0.3795338919326765,2.51991817968823e-06,1.3543689801913177e-06,6.540262444025404e-07,2.713868867281894e-07,8.941602211323962e-08,1.9879698980810945e-08,1.8928767362192822e-09,-5.640730222261806e-17,6.232970449227e-18,-2.686808735974088e-17,-2.261859855124901e-17,-2.45313542737096e-17,-5.206192016684432e-17,8.025832595599837e-18,1.3222180380567969e-17,-1.1872620606025569e-17,-7.423593166879919e-18,-1.6431957534228772e-17,2.589957215361941e-17,6.095633336673711e-18,-1.8798457344443805e-17,4.004201649050779e-17,5.676148702926264e-17,8.198659413922741e-17,8.693807904446696e-17,-3.1311402476369195e-17,9.480321016244921e-17,4.3550383315169077e-17,6.382463399694424e-17,-3.725988075689401e-17,4.8368778639765226e-17,2.2421056915533066e-17,5.4720555611086746e-17,-3.3192990767320455e-17,1.689904316994753e-17,4.877655849561974e-17
2,1.2510088069705377e-17,1.508426853200606e-17,6.1789030941082814e-18,-7.111531117335155e-18,-3.1424087241957014e-17,5.281682061519406e-17,5.078709509459528e-17,-2.7223179650219647e-17,2.6402673177161237e-17,-1.7325177791499924e-17,2.7950558806990086e-17,-1.3284147448861265e-17,3.3275468963414304e-17,4.920063605236429e-17,5.695393652417912e-17,5.981752349880198e-17,2.7077842140377857e-17,5.434511659897258e-17,8.652024196790006e-17,1.947188563875063e-17,4.9599425333688945e-17,8.861254291401895e-17,3.339588007749902e-17,-2.0258725632904217e-17,-5.952579215684963e-17,1.5296045742524285e-17,5.1897655236273165e-17,-6.593464557106661e-17,2.657110796182457e-18,1.0381085327878502e-17,4.281903208105302e-17,-1.2053147610304933e-18,1.9349728069225173e-18,-4.582528017695002e-18,6.741904486113174e-17,2.539444179909219e-17,5.754728211293061e-17,2.3527924475104518e-17,-1.715380409445243e-17,2.7262033685682425e-17,2.8958119543772815e-17,1.4263165769796337e-17,2.7349364234738288e-17,-3.4670697051064586e-17,-3.859661970464084e-18,2.511921567708924e-17,5.1718512083414304e-17,-1.8587902771028906e-17,2.399343120610882e-17,2.5563620420826248e-17,0.539075079062424,0.5273380160629784,0.5298858919406695,2.692098986625128e-06,1.4512521578087896e-06,7.045123821521105e-07,2.947248143893852e-07,9.819410794003393e-08,2.2110249094756832e-08,2.124231746853177e-09,-8.674843271900136e-17,-1.0441457274473589e-17,-1.797499715112178e-17,-4.963647225081884e-17,-3.0628614418393884e-17,-7.254119131554125e-17,3.677917869977127e-17,2.938069874997188e-17,-1.4908532765597622e-17,-3.188998158454681e-17,-9.669493051662733e-18,2.8638020202880086e-17,-9.76694310790358e-18,-1.9593949688645912e-17,1.8739345088459757e-17,5.1408608235139204e-17,7.172526640509585e-17,1.029164170168408e-16,-4.787120493417791e-17,7.555333545315351e-17,7.31762302454952e-17,7.319341839794558e-17,-6.614899664070253e-17,5.441885277510337e-17,3.545658474954065e-17,4.541804561038266e-17,-5.14482409614629e-17,-7.089931811349461e-19,3.66724912252176e-17
3,1.543161731835915e-17,1.2412627019751449e-17,9.856746087757425e-18,2.076874329639115e-17,6.7880895500192054e-18,5.4781557290615013e-17,3.1258101853412764e-17,-1.0828330174683245e-17,2.3608399448493362e-17,9.534422846563989e-18,2.6186339832496498e-17,-1.1098587757249077e-17,2.919738424248389e-17,3.8629879808459095e-17,4.002448689647449e-17,5.440290331156061e-17,2.37990377022844e-17,3.7049865521373326e-17,6.933477924035044e-17,1.369304744873702e-17,5.0750708648649845e-17,5.2332222662893465e-17,1.7469175813263465e-17,-5.837458600007829e-17,-6.990068562461093e-17,-1.2316013613589274e-17,3.0043166159250545e-17,-7.7904950796913e-17,-3.9940019963341626e-17,2.073784570046275e-17,2.692032668806001e-17,-9.952592493703266e-18,3.795154929144698e-18,-4.447104429269988e-18,6.310145027484459e-17,4.9551550266466075e-17,3.1600536275480355e-17,2.1113484946019786e-17,-1.6806294702840634e-17,2.930542550940248e-17,7.708036517907553e-17,4.310592128269525e-18,1.9388114833200082e-17,-4.445410696065457e-17,2.295067974399208e-17,2.3864211967088523e-17,7.658065911734813e-17,-3.538721503610791e-17,3.700748813836224e-17,2.235585351371041e-17,0.5070970253789802,0.4685217504536058,0.4510614082164911,2.6170924865161577e-06,1.4049227122008335e-06,6.783039403027647e-07,2.818597092788057e-07,9.319781575937629e-08,2.0828413155945574e-08,1.9912035109458074e-09,-5.74639457981679e-17,-3.761674429781269e-19,-4.320055195458107e-17,-3.4164532599274016e-17,-3.0770414391952705e-17,-6.82479982011233e-17,-4.664522778274194e-18,3.707696029188879e-18,-1.1870442085295401e-17,-1.3235528309838627e-17,-1.4385675322654686e-17,2.9062817787445737e-17,6.998558661029086e-19,2.322873210240341e-18,2.820335220615359e-17,5.661902276124461e-17,6.69170985802847e-17,1.0088474881713752e-16,-2.2202285622590785e-17,9.056337464068428e-17,8.881837125994058e-17,8.525483693477014e-17,-3.9458234034233753e-17,7.408606610078276e-17,2.8596885195100856e-17,6.48923087236133e-17,-1.8234420416674868e-17,1.1608944891533189e-17,7.13262573315408e-17
4,2.956092500288607e-18,4.6733054932393966e-18,-1.108305345848217e-17,1.445363388365007e-17,-2.849753434529844e-17,8.422170496058372e-17,3.759897503267157e-17,-2.244609364211665e-17,4.0103786364654206e-17,-1.6030996096298096e-17,1.3973510527093935e-17,-2.8973631335873536e-17,2.1291118860734536e-17,2.842821102460738e-17,5.836357835323267e-17,5.4003878859199304e-17,4.283675773073824e-17,6.028812023360461e-17,9.685366675988979e-17,2.361138251764042e-17,7.356340105086345e-17,7.487355151030991e-17,3.308109627865552e-17,-3.142543878841154e-17,-8.419467191287127e-17,1.8621360557679467e-17,5.867115643305632e-17,-7.080443590621252e-17,-1.4113880628138804e-17,-2.802973670031953e-18,2.4924111830346617e-17,1.8876455623344837e-18,5.546051264750471e-18,-2.980965735764484e-17,7.129037543341606e-17,4.2148364566325446e-17,3.649595335902292e-17,3.809298798987578e-17,-2.5976785816212745e-17,1.7364195352830313e-17,5.832112263863739e-17,5.3070873681853155e-18,2.6174169083333305e-17,-6.63223091157899e-17,-3.6943224137655055e-18,1.5122115248212056e-17,8.579416790266749e-17,-4.741248858936786e-17,3.7301920841359577e-17,1.1255199090544216e-17,0.5196897266135475,0.4829735320048586,0.4779750080735778,2.6434758838164733e-06,1.4188619038820203e-06,6.849933991039255e-07,2.846243813814175e-07,9.408251937338481e-08,2.1013015980464882e-08,2.007767187626673e-09,-6.86909350275224e-17,-7.496853752282709e-18,-2.0729898815156958e-17,-4.080566142195554e-17,-3.242645983776752e-17,-6.706124520018768e-17,1.289013976420752e-17,7.795452436196849e-18,-1.877416285385124e-17,-2.547639159676164e-17,-2.6941142855225656e-17,2.6135318907412066e-17,-1.098283359916954e-17,-3.5944422543978296e-17,-1.0135312832078617e-18,4.0779106477988297e-17,6.399973217167522e-17,8.093188493267062e-17,-7.030711802971014e-17,6.82756775351631e-17,2.9265754440167256e-17,4.0404387198827555e-17,-7.358328239476114e-17,4.042846876832837e-17,1.0854815542056866e-17,5.1405401679808457e-17,-7.096240947733298e-17,-2.7570884398027397e-17,2.5508389865344418e-17
5,-2.4003595441040045e-17,-1.0811017377317275e-17,-2.185508050231944e-18,1.853114195246564e-17,-1.995735440977352e-18,4.2637218950884437e-17,4.0558204782737787e-17,-1.999282762669115e-17,3.919946591311875e-17,-1.8134368686047238e-17,2.4104868583229712e-17,-2.2273100766379658e-18,3.3854295460433836e-17,3.1112967128759485e-17,4.1478144755847524e-17,5.117822607212405e-17,1.8194519594050973e-17,3.243744817190696e-17,6.930539866518027e-17,1.423426193251196e-17,3.824294946451761e-17,6.105073536719232e-17,2.404657419557393e-17,-6.938634663223004e-17,-7.734371781910221e-17,-2.257230224094285e-18,2.5380487027734417e-17,-1.054942666161768e-16,-2.29876643474314e-17,-1.422995711919039e-17,-4.722747184157706e-18,-2.7894572192076236e-17,-3.4993528976998986e-17,-2.957257009810679e-17,6.862249084569831e-17,4.759629274913768e-17,3.021920296702195e-17,2.5796472015756025e-18,-4.3933286097276966e-17,4.4372820638079856e-18,4.569930749474887e-17,-1.115437485991954e-17,1.4832578449343178e-17,-3.3084179621795016e-17,1.2769339270890993e-18,8.909800398377071e-18,7.531091473884669e-17,-6.367545345606166e-17,3.276477366880892e-17,3.592895871815913e-17,0.4613643821207011,0.426301873265164,0.421239718992412,2.5737608048205576e-06,1.3860452740391165e-06,6.714487209443123e-07,2.799524688734404e-07,9.284414805092301e-08,2.0794739233694757e-08,1.9903240657403403e-09,-4.2509427173268306e-17,-9.703187906328396e-18,-1.602942365062853e-17,-3.022769890524713e-17,-2.500564391581431e-17,-6.484158925737414e-17,2.1703789119584128e-17,3.0294391834246863e-18,-2.5698110710578828e-17,-2.292008075946877e-17,-3.989723306707827e-18,1.5867599885548396e-17,-5.4697432543194575e-18,-2.893003934387936e-17,3.630264495653081e-17,5.868573626049757e-17,8.623640394623581e-17,1.0938228695449552e-16,-3.317881974277911e-18,7.212848738608215e-17,7.038428954661313e-17,5.581753499843861e-17,-3.2988818706056655e-17,5.4483396098530816e-17,4.712570149594538e-17,6.268805424164285e-17,-3.174752027140471e-17,6.9349158127604944e-18,6.741494931572189e-17
6,-3.136868077324835e-18,-4.161499601384857e-18,-2.4589868237981606e-17,-1.932620969608366e-17,-2.2911068671381417e-17,6.069111988737587e-17,3.8670851696060736e-17,-4.9664786780961337e-17,1.9043545305461808e-17,-5.892064684725349e-17,-3.3403516617856266e-18,-1.7994422226258597e-17,-4.1244945151250315e-18,2.1128233931283362e-17,2.4749465259075578e-17,1.9273668488670574e-17,9.596060829403506e-18,6.241623362387025e-17,5.974996799563611e-17,-2.0553567880862992e-17,2.016805059346335e-17,5.744898017377068e-17,1.41474733916413e-17,-4.96807486278989e-17,-9.68248491044941e-17,-1.3232497211710366e-18,1.5763227122511738e-17,-8.874101125275726e-17,-3.405833092054394e-17,-1.2546659304362037e-18,1.9790839411620606e-17,-2.560530950605368e-17,7.774743848562182e-18,-3.1206420708114166e-17,7.445011030060193e-17,2.330568959022053e-17,3.5474043701532786e-17,4.006898757639303e-17,-3.809429018764796e-17,-2.4724622509687686e-18,5.805927701094298e-17,-6.602561093403381e-18,-6.4735923334916834e-18,-7.589035936204113e-17,-1.3272696253323057e-17,2.915068863351735e-17,5.3628256256884865e-17,-6.500052030117335e-17,4.801840509704736e-17,4.8558208187420144e-18,0.6369991046486531,0.6313199067425992,0.6394393430181272,2.704279435869136e-06,1.4500441144468129e-06,7.000824216699157e-07,2.91213369933016e-07,9.641795636046233e-08,2.1559206902436364e-08,2.0606763248004315e-09,-6.684663517772073e-17,-6.044719282654062e-18,-1.3002176804020217e-17,-4.3088017233162456e-17,-2.3247405465789418e-17,-9.091442683731656e-17,1.6463935941432996e-17,3.581427736243914e-17,-1.470047752303987e-17,-2.867735286604462e-17,-2.048926134880264e-17,1.5691001442319032e-17,-2.7565973805042487e-17,-2.1093643915086226e-17,3.017556683410923e-17,8.700695721400696e-17,1.1263813542611715e-16,1.1464078714366128e-16,-6.786515294624421e-17,8.068298196453317e-17,6.997967578090856e-17,8.218662620094819e-17,-6.017661957998984e-17,5.932436622452393e-17,4.7479892950304575e-17,5.872206110678263e-17,-4.7989582504187255e-17,1.08435582308024e-17,7.60623523724557e-17
7,-2.4261032407449707e-18,-1.602772321336919e-17,7.316813857395755e-18,-1.7429872995111884e-18,-7.874243600015405e-18,6.259801243834599e-17,4.07200474140464e-17,-3.215320070578051e-17,2.549191628851631e-17,-3.8696880822385546e-17,-1.7443224014791645e-18,-4.750942289304765e-17,2.4083610891382165e-19,1.1986447048846429e-17,5.3039270383688605e-17,4.231565771012755e-17,8.511896759324024e-18,3.760934235679273e-17,8.084275989898214e-17,1.4484506700494565e-17,3.999996776612676e-17,7.539576006757908e-17,3.1438027493354787e-17,-4.6785703670135816e-17,-8.690097539049378e-17,8.079384813410009e-18,3.2315319526458254e-17,-6.160110857408825e-17,-2.5125569833970578e-17,1.7904570212021358e-17,2.3844809558396417e-17,1.6652729299031436e-17,-1.1898361412505037e-18,-1.5883182500713986e-17,5.212882567567774e-17,2.675500359168445e-17,3.491877030940898e-17,1.905608804647592e-17,-3.590972210958201e-17,1.7983782025919046e-17,2.4591235377773974e-17,-5.016301439554617e-19,2.042185375274164e-17,-4.971932685249552e-17,-1.6498790887807205e-18,-9.203010031374473e-19,3.6897665376443377e-17,-4.2515201128850076e-17,3.991542151792479e-18,-1.0059831005417944e-17,0.4826404813178202,0.428584400742995,0.4421122003769364,2.660886678327928e-06,1.4353624357623407e-06,6.961657445305055e-07,2.903070645410423e-07,9.616927946609066e-08,2.1498872735924477e-08,2.0546995009634956e-09,-7.428192217950149e-17,8.534309755984943e-18,-2.3104974709052213e-17,-4.787402921106566e-17,-3.8324515944305743e-17,-8.186161477841546e-17,-7.624600115251374e-19,5.326272813001127e-18,-3.3773134258215134e-17,-3.625559135676594e-17,-3.018691411332256e-17,-3.287576446610314e-19,-1.1712156451532634e-17,-3.5432474053015336e-17,9.681614919839e-18,4.323922370755693e-17,8.052966755696669e-17,9.03143085941728e-17,-3.8731197686234593e-17,6.610822775884962e-17,4.511151903385229e-17,7.259808253174826e-17,-5.0993629837719636e-17,3.607944447875537e-17,2.3950544190363777e-17,3.924441933418235e-17,-4.785318953515949e-17,-1.8800576724984266e-17,3.0166774929284777e-17
8,1.0618670001135561e-18,-5.8724961723849855e-18,-1.881225471353876e-17,3.3751229553645376e-20,-3.336912055702924e-17,6.569976676053164e-17,4.927734804847117e-17,-5.469826664371813e-17,2.0536773858643836e-17,-4.8647199036285546e-17,-6.383188015693197e-18,-4.9361574797664804e-17,3.134521715032064e-17,1.8290382017032378e-17,2.082291405480178e-17,4.0878347012024036e-17,-1.1862018759356672e-18,4.0422040157189566e-17,7.935589998721155e-17,1.9764711438708828e-18,3.9315849793025497e-17,6.723997362250064e-17,3.4966606107814224e-17,-6.306122338666638e-17,-8.716193149686865e-17,1.7544967899691338e-17,4.218184231692725e-17,-1.0572358770865412e-16,-1.3760753182796445e-17,9.599805995559533e-18,5.000221155151376e-17,-1.0605785103929756e-17,-3.4254056603055072e-18,-2.545621043922616e-17,8.51674219378149e-17,2.2284499591185398e-17,3.382864032435729e-17,2.527242043182566e-17,-2.2741601700702325e-17,-7.834823644616461e-18,2.817420139098172e-17,-3.032769124309568e-17,3.206749131748149e-17,-6.954639471385101e-17,-6.586182012249902e-18,9.067935414307024e-18,6.261007380723749e-17,-7.953300301540162e-17,3.247612091981288e-18,-5.119685496846765e-18,0.756522924598271,0.7367470152516883,0.7383509439791904,2.529223436781909e-06,1.356620625167437e-06,6.550651014544698e-07,2.723770777894452e-07,9.01617444206475e-08,2.0186560169494392e-08,1.9325386206430863e-09,-9.36270772932534e-17,-5.5567828188686925e-18,-3.750778520875998e-17,-5.697845044321683e-17,-2.4327639770469076e-17,-1.2941004203618046e-16,5.887434594408941e-18,3.207067578211928e-17,-2.2856913416123556e-17,-3.5619166431013523e-17,-2.3988575866409468e-18,7.500489492795169e-17,-3.7966473648714004e-17,-3.1388504149498146e-17,5.5220085358372524e-17,9.057493880616898e-17,1.4475187727910255e-16,1.725589042603456e-16,-6.747755572892047e-17,1.5579609157866652e-16,1.0405953869988048e-16,1.5711993988520783e-16,-7.120340824870381e-17,1.0176288869885052e-16,8.251447552058136e-17,9.529949935956307e-17,-4.186346667685654e-17,5.509304839929274e-18,9.812448049408895e-17
9,-8.583263569911879e-18,-5.44539322940874e-18,-1.864972033709285e-18,-4.181866971358541e-18,-1.573082731523085e-17,3.999055159570364e-17,3.4455064613755043e-17,-1.6829208241224694e-17,2.7977262673670896e-17,-2.6266157045942776e-17,1.7164726672331946e-17,-1.0962306981912418e-17,1.2995499943009209e-17,2.271444770009741e-17,4.076940394583484e-17,3.5419639799717727e-17,1.7659406972569576e-17,3.616227220968733e-17,5.794180600491337e-17,4.446254987430052e-18,3.293240996572361e-17,6.170199724025285e-17,2.7138661272107105e-17,-5.207408754991471e-17,-7.493553193023294e-17,-1.8595578754892e-18,3.963682510506352e-17,-8.080023976830441e-17,-1.6149004038121796e-17,6.0551276505267e-18,2.9603626310045174e-17,-1.874574250821937e-17,-6.046918982891856e-19,-1.9767989830706296e-17,7.611192053929824e-17,5.1398352777590293e-17,5.63286392194365e-17,4.192995747953754e-17,-1.643121378787297e-17,8.068856141444355e-18,5.41814528635638e-17,5.063687526885888e-18,1.4135920041731797e-17,-5.4965076828429154e-17,2.676471903719668e-17,3.1871172141103127e-17,8.191296424860664e-17,-3.461319780709212e-17,3.5829989879742626e-17,4.229870448763834e-17,0.4415643205358234,0.4254752949632547,0.4280817577506984,2.556216617621552e-06,1.3822634589375705e-06,6.731895312746158e-07,2.8260413255160496e-07,9.452309716958489e-08,2.1376848470068605e-08,2.06044337890861e-09,-3.822977319207595e-17,-7.088218358724558e-18,-1.7221794012302796e-17,-4.073260612158259e-17,-4.3540099285463204e-17,-4.8815050641725264e-17,9.015035093182392e-18,2.825984989483254e-17,-1.9104990092458868e-17,-6.877894715739239e-18,-2.435661985116589e-17,4.8058516406147677e-17,1.3321601382137275e-17,-1.3516581987817105e-17,3.3959458594873085e-17,4.46686797179388e-17,9.111622938442848e-17,9.942210895766237e-17,-3.5299117965510266e-17,9.018324083668615e-17,8.304624020260675e-17,7.799139097382401e-17,-4.8873870864024465e-17,5.99291939830842e-17,3.4259110798364967e-17,6.303446951409126e-17,-4.2612855431145316e-17,4.983881384599141e-18,4.6272922229900665e-17
